artist,track,seeds,genre,clean_text
Ingrid Michaelson,Far Away,['fun'],folk,live life lobsterman wife island blue bay take care smell like sea close heart always stay bear three girls strawberry curls little ella nelly faye combing hair catch warm stare island blue bay far away far away want go far away new life new shore line water blue people new another island another life boy next never anything boy bar think tops everything stops love love afar walks right past finally see bar stool ca stay taking frown far distant town island blue bay far away far away want go far away new life new shore line water blue people new another island another life wan na go far away away away wan na go far away away away wan na go far away away water blue people new another life another life another shore line another life
The Temptations,It's Summer,['strong'],soul,outside window robin builds nest last winter gone away rest leaves return trees feel soft summer breeze magic air winter disappear summer children playing park days longer till dark nights warm star filled skies perfect setting girl guy magic air green grass summer know summer time time time time livin easy oh easy everybody sing summer time time time time summer million things vacation near far whatever pleases summer happiest season everybody get together ball magic air green grass summer oh magic air green grass summer woo summer time magic air green grass everywhere oh summer take look around summer time magic air green grass everywhere oh summer hmm summer time
Fatboy Slim,Because We Can,['fun'],soundtrack,yes oh oh oh oh oh oh oh oh oh oh oh oh everybody oh oh oh oh oh oh oh oh oh oh oh oh oh oh everybody yes yes yes yes oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh everybody oh oh oh oh oh oh oh oh oh oh oh oh oh oh everybody echoes bumpy bumpy oh oh bumpy bumpy oh oh bumpy bumpy oh oh grinding oh oh bumpy bumpy oh oh bumpy bumpy oh oh yes yes yes yes becaue everybody
Fatboy Slim,Put It Back Together,"['smooth', 'driving']",electronic,moving forward point come rolling lowly song moving forward point come rolling lowly song got ta see nothing means got ta got ta feel everything got ta hold everything got ta day invite got ta bore till take us got ta feel like every single line got ta clean side put back together put back together put back together put back together put back together yeah yeah yeah yeah yeah yeah yeah yeah yeah burning city warning something need find got sun dug whole fun taste floating meet place silent sleep got ta feeling mean sad love everything around better sing loud jam dawn got much dissing side another ride sow cat bet put back together put back together put back together put back together put back together yeah yeah yeah yeah yeah yeah yeah yeah yeah
Counting Crows,Carriage,['tragic'],alternative rock,anything better thing underneath staring ceiling another world chocolate bars baseball cards hides inside tension feeling inside inside surprise surprise miss hair miss eyes solitude confidence eroding slide inside someone mouth someone eyes sound something intimate exploding inside inside wish anesthetized sterilized would evidence congealing surprise surprise another pair lips eyes consequence actually feeling inside inside
Neil Young,Ambulance Blues,['soft'],folk,back old folky days air magic played riverboat rockin rain midnight time raid oh isabela proud isabela tore plowed real could see stay long along navajo trail stub toes garbage pails waitresses cryin rain boyfriends pass way oh mother goose skids sure ai happy neither kids needs someone scream heel makin feel bad guess call sickness gone hard say meaning song ambulance go fast easy get buried past try make good thing last saw today entertainment section room top private detection mom dad matter either pay kidnapper critics sit alone better shown stomach pump hook ladder dreams could get together scenes never knew man could tell many lies different story every set eyes remember talkin know ai hope well keepin jive alive corner half past five subways empty cafes except farmer market still hear say pissin wind know ai nothin like friend tell pissin wind never knew man could tell many lies different story every set eyes remember talking cause know ai hope
Indigo Girls,Chickenman,['cheerful'],folk,child born wild riddled spend time defending land one born sun riddled spend time defending plan dead dog highway median cats growling turn lights brighter counting night ride one life taker chickenman chickenman one song maker chickenman chickenman road athens saw dead deer highway slipped desert five prairie dogs rabbit running queen street saw woman sidewalk danger danger beaten stranger danger danger danger danger danger danger danger one life taker chickenman chickenman chickenman hold hand one song maker hold hand chickenman road austin met man highway sold junk conversation wise dirty weather said darkness darkness carnage journeys makes harder living said long road forgiven one life taker chickenman chickenman chickenman hold one song maker chickenman chickenman chickenman hold hand child born wild riddled spend time defending land one born sun riddled spend time defending plan went looking car found beneath stars went looking girl found man world chickenman chickenman went looking car chickenman hold hand found beneath stars chickenman chickenman went looking girl chickenman hold hand found man world child chickenman chickenman chickenman hold hand hold hand chickenman chickenman chickenman hold hand child chickenman chickenman chickenman hold hand hold hand chickenman chickenman chickenman hold hand chickenman chickenman chickenman hold hand chickenman chickenman chickenman hold hand chickenman chickenman chickenman hold hand chickenman chickenman chickenman hold hand
Tori Amos,Landslide,['intimate'],alternative,took love took climbed mountain turned around saw reflection snow covered hills landslide brought oh mirror sky love child within heart rise sail changing ocean tides handle seasons life well afraid changing built life around time makes bolder even children get older getting older oh take love take climb mountain turn around see reflection snow covered hills landslide bring see reflection snow covered hills well landslide bring
Rush,Xanadu,['epic'],progressive rock,seek sacred river alph walk caves ice break fast honey dew drink milk paradise heard whispered tales immortality deepest mystery ancient book took clue scaled frozen mountain tops eastern lands unknown time man alone searching lost xanadu xanadu stand within pleasure dome decreed kubla khan taste anew fruits life last immortal man find sacred river alph walk caves ice oh dine honey dew drink milk paradise thousand years come gone time passed stars stopped sky frozen everlasting view waiting world end weary night praying light prison lost xanadu xanadu held within pleasure dome decreed kubla khan taste bitter triumph mad immortal man nevermore shall return escape caves ice dined honey dew drunk milk paradise
Kate Bush,The Saxophone Song,['romantic'],rock,find berlin bar corner brooding know go quiet listening something special indeed places seen shine boy something real feel honey chorus know real tuning saxophone candle burning shoulder throwing shadows saxophone surly lady tremor stars climb bowels stars make towers vowels never know never know poetry stirred stars seen shine brightly never known felt rightly chorus
Mazzy Star,Mary Of Silence,"['dark', 'gloomy', 'dreamy', 'sexy', 'atmospheric', 'druggy', 'trippy', 'calm']",dream pop,oh mary silence pick heart smile oh sweet mary come inside help get hold look night thought beside take skin oh sweet mary silence oh sleeping mary silence steady confusion looking fear seem like first time walked hurry oh sweet mary silence oh sleeping mary silence look window check head pane last thoughts come ca take pain oh sweet mary silence oh sleeping mary silence help walk sky see shuddering oh oh oh well sweet mary silence sweet mary silence sweet mary silence sweet mary silence
Depeche Mode,Goodnight Lovers,['dreamy'],electronic,somewhere heart still part cares still take best got even though sure best born lover born suffer like soul sisters soul brothers see danger signs help underline beauty looking easy ride true happiness tried easily born lover born suffer like soul sisters soul brothers like soul sisters soul brothers take time waiting line even give time day born lover born suffer like soul sisters soul brothers like soul sisters soul brothers
Kid Rock,Super Rhyme Maker,['lyrical'],hip hop,bonnie shades high top fade low know mic aid think blink way make grade say use go school use go dot dot bim use know older brother use eighth grade lover talk cheap speech weak use go wrong freak never gave hoot girl cute wanted piece knock boots get dissed crossed list though bend behind would get kissed like world girls go low like jock custoe blow come drawers see ya got ta go plain kid rock name run game frisco maine never fell love girl heartbreaker still built skills super rhyme maker come yeah sup sup sup super rhyme maker come yeah come super ryhme rhyme come rhyme rhyme rhyme come come rhyme rhyme rhyme come come come rhyme maker stop madness never wild style badness runnin show clockin dough juliet get fucked romeo kid rock flat top michael jackson spinnin singing wall making everyone thump like thunder got like mother went straight ca stand way jam hold mic hand rock whole land man get jealous want either way gon na work hard make ends match started scrath lot crap like wild horse one catch bad mother fucker believe pop top flop stop makin every girl house want piece rock bring new swing make understand kid running things mostly mc faker rest microphone master super rhyme maker come yeah sup sup sup alright cut sup sup sup super rhyme maker come yeah sup sup sup sup super rhyme rhyme rhyme rhyme rhyme maker
Mazzy Star,Bells Ring,['ethereal'],dream pop,bells ring night sounds like mystery sonnet night hold throat come together see light goes away leave heart water sleeps inside soul true father hold water black moonlight look see weakness sky nobody buy story nobody wants know reason hold hands throw water front know feel put hero gone feeling gone feeling gone feeling want say want like inside right side
Elvis Costello,I Want You,['brooding'],rock,oh baby baby love tell think live without know never oh baby baby want scares death ca say anymore love everything else waste breath want fun get well want fingernails go dragging wall careful darling might fall want woke one us crying want said young man believe dying want need second opinion seem days want look eyes count ways want mean tell seem forget want since generous inarticulate want stupid details heart breaking way shoulders shake shaking want knowing knows guessing thought undressing undressing want tossed tatty compliment way want fool enough love said want want truth ca hurt like dark scares witless time see things clear stark want go hurt let drop want afraid wo know stop want ashamed say cried want want know things want want hear pleases want might well useless means want call name held want oh darling clown want want fun get well want wants could want want want want every night go bed wake want going say instill know going feel way kill want want want
INXS,All The Voices,['earnest'],rock,deep heart lot words tears fall face hear many voices cry pain want tell give want tell give give hear voices wraps around people never doubt hear voices take look around people change things never doubt wo take new start much ask ooh take hear million people singing want tell give want tell give give hear voices wraps around people never doubt hear voices take look around people change change hear voices people hear voices people hear voices people people hear voices people hear voices people repeat x5
